年份,区块,AUC,AUC_FILL,Vmax,Tpeak,UpSlope,DnSlope,FWHM,DL_vb,DL_va,DL_m1,DL_m2,DL_s1,DL_s2,SeasonLen,T,P,S,Y,AUC_T,AUC_P,Vmax_T,FWHM_P,T2,P2,HDD,CDD,B_A1,B_A10,B_A2,B_A3,B_A4,B_A5,B_A6,B_A7,B_A8,B_A9
2017,A10,338.235,196.29,4.22,120.0,0.06235357142857137,-0.03451142857142864,90.0,0.8293261044470022,4.029319883569902,89.37325413920229,163.32553061325433,9.249442187188835,22.406821721828404,73.95227647405204,15.6,128,746,800,5276.466,43294.08,65.832,11520.0,243.35999999999999,16384,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2017,A2,208.48000000000002,118.575,2.574,120.0,0.03904999999999998,-0.016534285714285744,90.0,-0.548142748847241,3.796953907145756,78.77287933965562,179.99999999999412,17.061658260600353,29.999999999999304,101.2271206603385,13.1,104,664,694,2731.088,21681.920000000002,33.7194,9360.0,171.60999999999999,10816,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2017,A3,229.98499999999999,137.19,3.165,110.0,0.057365714285714284,-0.02456428571428569,90.0,0.14389954350423703,4.1071728323231715,88.39957884660166,154.1252281648073,12.025097422904558,29.999999999999986,65.72564931820565,13.8,109,682,681,3173.793,25068.364999999998,43.677,9810.0,190.44000000000003,11881,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2017,A4,242.77999999999997,141.02499999999998,3.486,110.0,0.06180285714285713,-0.019803571428571438,90.0,0.4140093420156096,3.1778483656990013,87.31074842327406,169.17407055736834,8.905880287156142,29.999999999999996,81.86332213409428,13.5,118,705,670,3277.5299999999997,28648.039999999997,47.061,10620.0,182.25,13924,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2017,A5,277.99,165.17000000000002,3.723,110.0,0.0672485714285714,-0.021014285714285718,90.0,0.8196911028009071,3.191837163613883,90.5128205706026,168.50358993174171,5.072998263167112,29.99999999994316,77.99076936113912,14.4,120,711,666,4003.056,33358.8,53.6112,10800.0,207.36,14400,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2017,A6,304.17999999999995,179.545,4.084,110.0,0.06956571428571426,-0.029307142857142837,90.0,0.4766156489816522,5.091963505317727,89.78397931640795,151.9533424362088,12.018973948190785,29.999999999999996,62.16936311980085,14.8,130,718,740,4501.864,39543.399999999994,60.4432,11700.0,219.04000000000002,16900,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2017,A7,328.85,190.575,4.229,120.0,0.060239285714285655,-0.03134571428571433,90.0,0.9477782627802674,4.553373776247073,91.12025478808799,153.33841681336887,10.63891565822556,29.99999999999953,62.218162025280876,15.1,126,709,769,4965.635,41435.100000000006,63.8579,11340.0,228.01,15876,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2017,A8,331.3399999999999,191.945,4.163,120.0,0.05874285714285709,-0.02929142857142861,90.0,1.194635306299146,3.902640633170189,91.62506136235218,155.51395626767163,8.4482712932214,28.436440764920235,63.88889490531945,15.3,151,726,800,5069.501999999999,50032.33999999999,63.693900000000006,13590.0,234.09000000000003,22801,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2017,A9,331.88,194.24,4.329,110.0,0.07578571428571426,-0.02879642857142856,90.0,0.8139911302971531,4.489449212242592,89.08986447243706,157.36625993395936,8.79645592812528,29.999999999999993,68.2763954615223,15.1,152,733,800,5011.388,50445.76,65.36789999999999,13680.0,228.01,23104,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2018,A1,203.91500000000005,118.11500000000001,2.712,110.0,0.04751999999999999,-0.01877499999999999,90.0,0.25620412391346553,2.990612256398416,85.81407054125293,161.19920261774539,10.647334400770674,29.999999999999744,75.38513207649245,13.3,109,668,646,2712.069500000001,22226.735000000004,36.0696,9810.0,176.89000000000001,11881,0.0,0.0,True,False,False,False,False,False,False,False,False,False
